Sample Number,Sample Date,Start Time,Sample Location,Class,Genus,Species,Density,Biovolume,Counted
319,4/19/2018,16:36,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,2591789.017,1098918543,196
365,4/26/2018,11:04,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,1674965.691,720235247.2,285
319,4/19/2018,16:36,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,436372.6406,316370164.4,33
352,4/25/2018,22:29,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,833075.0411,303239315,252
319,4/19/2018,16:36,Breach,Bacillariophyta,Rhoicosphenia,Rhoicosphenia curvata,1071096.481,269916313.3,81
364,4/26/2018,10:55,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,696433.1031,263948146.1,158
305,8/1/2017,11:17,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,79340.48011,233261011.5,9
127.3,4/20/2018,4:05,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,200995.8829,222100450.6,38
107.1,4/19/2018,16:14,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,539515.2647,196923071.6,102
365,4/26/2018,11:04,Interior,Bacillariophyta,Fragilaria,Fragilaria crotonensis,282099.4848,195212843.5,48
150.2,4/25/2018,15:33,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,428438.5926,178658893.1,162
334,4/20/2018,3:14,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,523647.1687,178563684.5,198
305,8/1/2017,11:17,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,467227.2717,175677454.2,53
314,8/8/2017,14:10,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,70524.8712,165380823,8
366,4/26/2018,11:12,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,380834.3045,153476224.7,216
346,4/25/2018,15:38,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,417859.8619,147922391.1,316
408,8/1/2017,2:37,Interior,Bacillariophyta,Bacillaria,Bacillaria paradoxa,951998.1061,145655710.2,10
92,8/8/2017,14:25,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,141049.7424,142460239.8,64
408,8/1/2017,2:37,Interior,Bacillariophyta,Melosira,Melosira varians,190399.6212,142228517,2
408,8/1/2017,2:37,Interior,Bacillariophyta,Frustulia,Frustulia sp.,88156.08901,139286620.6,1
