"SampleID","Longitude","Latitude","Project_na","Region","Type","Source","Date","Station","Microcystis","Chlorophyll","Secchi","Temperature","SalSurf","TurbidityNTU","TowType","Year","Month","BottomDepth","Tide","Datetime","DO","TurbidityFNU","SizeClass","ClamGroup","Volume","CPUE"
"FRP PG1-10APR2018",-121.58961,38.09645,"Web Tract Berms","Web Tract Berms","Inside","FRP",2018-04-10 07:00:00,"Webb Tract Island and Berm","1",NA,NA,15.3,0.140937578764476,9.2,"PPG",2018,NA,NA,"Flood",2018-04-10 10:50:00,10.4,NA,"Macro","Corbicula",0.0231,0
"FRP PG1-10APR2018",-121.58961,38.09645,"Web Tract Berms","Web Tract Berms","Inside","FRP",2018-04-10 07:00:00,"Webb Tract Island and Berm","1",NA,NA,15.3,0.140937578764476,9.2,"PPG",2018,NA,NA,"Flood",2018-04-10 10:50:00,10.4,NA,"Macro","Other",0.0231,303.030303030303
"FRP PG1-10APR2018",-121.58961,38.09645,"Web Tract Berms","Web Tract Berms","Inside","FRP",2018-04-10 07:00:00,"Webb Tract Island and Berm","1",NA,NA,15.3,0.140937578764476,9.2,"PPG",2018,NA,NA,"Flood",2018-04-10 10:50:00,10.4,NA,"Macro","Potamocorbula",0.0231,0
"FRP PG1-11APR2018",-121.66486,38.240705,NA,"Cache Slough","Outside","FRP",2018-04-11 07:00:00,"Miner Slough","1",NA,30,13.8,0.0979773366123054,54.9,"PPG",2018,NA,NA,"Ebb",2018-04-11 08:30:00,10,NA,"Macro","Corbicula",0.0231,86.5800865800866
"FRP PG1-11APR2018",-121.66486,38.240705,NA,"Cache Slough","Outside","FRP",2018-04-11 07:00:00,"Miner Slough","1",NA,30,13.8,0.0979773366123054,54.9,"PPG",2018,NA,NA,"Ebb",2018-04-11 08:30:00,10,NA,"Macro","Other",0.0231,0
"FRP PG1-11APR2018",-121.66486,38.240705,NA,"Cache Slough","Outside","FRP",2018-04-11 07:00:00,"Miner Slough","1",NA,30,13.8,0.0979773366123054,54.9,"PPG",2018,NA,NA,"Ebb",2018-04-11 08:30:00,10,NA,"Macro","Potamocorbula",0.0231,0
"FRP PG1-12APR2018",-121.99758,38.12914,NA,"Grizzly Bay","Outside","FRP",2018-04-12 07:00:00,"Grizzly Bay","1",NA,10,13.2,0.0581867227214772,147.2,"PPG",2018,NA,NA,"Flood",2018-04-12 10:15:00,11.3,NA,"Macro","Corbicula",0.0231,0
"FRP PG1-12APR2018",-121.99758,38.12914,NA,"Grizzly Bay","Outside","FRP",2018-04-12 07:00:00,"Grizzly Bay","1",NA,10,13.2,0.0581867227214772,147.2,"PPG",2018,NA,NA,"Flood",2018-04-12 10:15:00,11.3,NA,"Macro","Other",0.0231,216.450216450216
"FRP PG1-12APR2018",-121.99758,38.12914,NA,"Grizzly Bay","Outside","FRP",2018-04-12 07:00:00,"Grizzly Bay","1",NA,10,13.2,0.0581867227214772,147.2,"PPG",2018,NA,NA,"Flood",2018-04-12 10:15:00,11.3,NA,"Macro","Potamocorbula",0.0231,519.48051948052
"FRP PG1-13APR2018",-121.72456,38.08291,NA,"Decker","Outside","FRP",2018-04-13 07:00:00,"Horseshoe Bend","1",NA,NA,14.3,0.122548276349843,17.2,"PPG",2018,NA,NA,"Low slack",2018-04-13 11:00:00,11.5,NA,"Macro","Corbicula",0.0231,4588.74458874459
"FRP PG1-13APR2018",-121.72456,38.08291,NA,"Decker","Outside","FRP",2018-04-13 07:00:00,"Horseshoe Bend","1",NA,NA,14.3,0.122548276349843,17.2,"PPG",2018,NA,NA,"Low slack",2018-04-13 11:00:00,11.5,NA,"Macro","Other",0.0231,0
"FRP PG1-13APR2018",-121.72456,38.08291,NA,"Decker","Outside","FRP",2018-04-13 07:00:00,"Horseshoe Bend","1",NA,NA,14.3,0.122548276349843,17.2,"PPG",2018,NA,NA,"Low slack",2018-04-13 11:00:00,11.5,NA,"Macro","Potamocorbula",0.0231,0
"FRP PG1-18APR2018",-121.83355,38.02312,NA,"Confluence","Outside","FRP",2018-04-18 07:00:00,"Dow","1",NA,74,14.7,0.17256239846247,10.8,"PPG",2018,NA,NA,"Ebb",2018-04-18 07:23:00,7.1,NA,"Macro","Corbicula",0.0231,43.2900432900433
"FRP PG1-18APR2018",-121.83355,38.02312,NA,"Confluence","Outside","FRP",2018-04-18 07:00:00,"Dow","1",NA,74,14.7,0.17256239846247,10.8,"PPG",2018,NA,NA,"Ebb",2018-04-18 07:23:00,7.1,NA,"Macro","Other",0.0231,259.74025974026
"FRP PG1-18APR2018",-121.83355,38.02312,NA,"Confluence","Outside","FRP",2018-04-18 07:00:00,"Dow","1",NA,74,14.7,0.17256239846247,10.8,"PPG",2018,NA,NA,"Ebb",2018-04-18 07:23:00,7.1,NA,"Macro","Potamocorbula",0.0231,0
"FRP PG1-22MAR2018",-121.86946,38.04501,NA,"Confluence","Outside","FRP",2018-03-22 07:00:00,"Browns Island","1",NA,54,13.1,0.706302745383371,19,"PPG",2018,NA,NA,"Ebb",2018-03-22 08:15:00,10,NA,"Macro","Corbicula",0.0231,0
"FRP PG1-22MAR2018",-121.86946,38.04501,NA,"Confluence","Outside","FRP",2018-03-22 07:00:00,"Browns Island","1",NA,54,13.1,0.706302745383371,19,"PPG",2018,NA,NA,"Ebb",2018-03-22 08:15:00,10,NA,"Macro","Other",0.0231,0
"FRP PG1-22MAR2018",-121.86946,38.04501,NA,"Confluence","Outside","FRP",2018-03-22 07:00:00,"Browns Island","1",NA,54,13.1,0.706302745383371,19,"PPG",2018,NA,NA,"Ebb",2018-03-22 08:15:00,10,NA,"Macro","Potamocorbula",0.0231,0
"FRP PG1-23MAR2018",-121.6851,38.24561,"Liberty","Cache Slough","Inside","FRP",2018-03-23 07:00:00,"Liberty Island","1",NA,100,12.2,0.0994194744434963,5.7,"PPG",2018,NA,NA,"Flood",2018-03-23 08:19:00,9.9,NA,"Macro","Corbicula",0.0231,779.220779220779
"FRP PG1-23MAR2018",-121.6851,38.24561,"Liberty","Cache Slough","Inside","FRP",2018-03-23 07:00:00,"Liberty Island","1",NA,100,12.2,0.0994194744434963,5.7,"PPG",2018,NA,NA,"Flood",2018-03-23 08:19:00,9.9,NA,"Macro","Other",0.0231,0
"FRP PG1-23MAR2018",-121.6851,38.24561,"Liberty","Cache Slough","Inside","FRP",2018-03-23 07:00:00,"Liberty Island","1",NA,100,12.2,0.0994194744434963,5.7,"PPG",2018,NA,NA,"Flood",2018-03-23 08:19:00,9.9,NA,"Macro","Potamocorbula",0.0231,0
"FRP PG1-29MAR2018",-122.01504,38.07898,"Ryer","Grizzly Bay","Inside","FRP",2018-03-29 07:00:00,"Ryer Island","1",NA,35,13.4,0.174027154897068,33.4,"PPG",2018,NA,NA,"Low slack",2018-03-29 08:37:00,9.7,NA,"Macro","Corbicula",0.0231,173.160173160173
"FRP PG1-29MAR2018",-122.01504,38.07898,"Ryer","Grizzly Bay","Inside","FRP",2018-03-29 07:00:00,"Ryer Island","1",NA,35,13.4,0.174027154897068,33.4,"PPG",2018,NA,NA,"Low slack",2018-03-29 08:37:00,9.7,NA,"Macro","Other",0.0231,0
"FRP PG1-29MAR2018",-122.01504,38.07898,"Ryer","Grizzly Bay","Inside","FRP",2018-03-29 07:00:00,"Ryer Island","1",NA,35,13.4,0.174027154897068,33.4,"PPG",2018,NA,NA,"Low slack",2018-03-29 08:37:00,9.7,NA,"Macro","Potamocorbula",0.0231,0
"FRP PG1-5JUN2018",-121.72453,38.0832,NA,"Decker","Outside","FRP",2018-06-05 07:00:00,"Horseshoe Bend","1",NA,130,20.5,0.0883721285150298,4.8,"PPG",2018,NA,NA,"High slack",2018-06-05 09:30:00,9.3,NA,"Macro","Corbicula",0.0231,0
"FRP PG1-5JUN2018",-121.72453,38.0832,NA,"Decker","Outside","FRP",2018-06-05 07:00:00,"Horseshoe Bend","1",NA,130,20.5,0.0883721285150298,4.8,"PPG",2018,NA,NA,"High slack",2018-06-05 09:30:00,9.3,NA,"Macro","Other",0.0231,0
"FRP PG1-5JUN2018",-121.72453,38.0832,NA,"Decker","Outside","FRP",2018-06-05 07:00:00,"Horseshoe Bend","1",NA,130,20.5,0.0883721285150298,4.8,"PPG",2018,NA,NA,"High slack",2018-06-05 09:30:00,9.3,NA,"Macro","Potamocorbula",0.0231,0
"FRP PG1-BI-28MAR2019",-121.85641,38.04119,"Browns","Confluence","Inside","FRP",2019-03-28 07:00:00,"Browns Island","1",NA,74,13.8,0.250293256654012,17.3,"PPG",2019,NA,NA,"Ebb",NA,8.1,NA,"Macro","Corbicula",0.0231,303.030303030303
"FRP PG1-BI-28MAR2019",-121.85641,38.04119,"Browns","Confluence","Inside","FRP",2019-03-28 07:00:00,"Browns Island","1",NA,74,13.8,0.250293256654012,17.3,"PPG",2019,NA,NA,"Ebb",NA,8.1,NA,"Macro","Other",0.0231,0
"FRP PG1-BI-28MAR2019",-121.85641,38.04119,"Browns","Confluence","Inside","FRP",2019-03-28 07:00:00,"Browns Island","1",NA,74,13.8,0.250293256654012,17.3,"PPG",2019,NA,NA,"Ebb",NA,8.1,NA,"Macro","Potamocorbula",0.0231,0
"FRP PG1-CI-13MAY2019",-121.926516,38.05592,"Chipps","Confluence","Inside","FRP",2019-05-13 07:00:00,"Chipps Island",NA,NA,31,17.2,0.083095335466724,28.1,"PPG",2019,NA,NA,NA,NA,9.2,NA,"Macro","Corbicula",0.0231,389.61038961039
"FRP PG1-CI-13MAY2019",-121.926516,38.05592,"Chipps","Confluence","Inside","FRP",2019-05-13 07:00:00,"Chipps Island",NA,NA,31,17.2,0.083095335466724,28.1,"PPG",2019,NA,NA,NA,NA,9.2,NA,"Macro","Other",0.0231,0
"FRP PG1-CI-13MAY2019",-121.926516,38.05592,"Chipps","Confluence","Inside","FRP",2019-05-13 07:00:00,"Chipps Island",NA,NA,31,17.2,0.083095335466724,28.1,"PPG",2019,NA,NA,NA,NA,9.2,NA,"Macro","Potamocorbula",0.0231,0
