quadid,sentinelsite,tier3site,subsite,cellid,latitude,longitude,plot,plotsize,sampledate,samplemonth,sampleyear,biomass_gm,waterdepth,thatchheight,thatchdensity,pclive,pcdead,pcsoil,pclitter,pcaqveg,pcwater,sp1,pc_sp1,sp2,pc_sp2,sp3,pc_sp3,bioCOUNT,gps_accuracy,biotypha_gm2,bioscac_gm2,totalbiomass_gm2,salinity,distance,pc_wrack,herbbio,deadherbbio,phaubio,deadphaubio,ivfrbio,deadivfrbio,biomassstd_gm2,culmdensity_m2,culmdensitystd_m2
"1-2","CapeCod","Sage","NA",37232,41.55339,-70.50619,"NA",.25,"8/11/2015",8,2015,274.32,"0","2","medium","94","3",1,"NA","0","0","Juncus gerardii",55,"Distichlis spicata",55,"Symphyotrichum tenuifolium",1,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1-1","CapeCod","Sage","NA",37232,41.55338,-70.506,"NA",.25,"8/11/2015",8,2015,262.32,"0","4","medium","94","15",1,"NA","0","0","Juncus gerardii",94,"Distichlis spicata",25,"Iva fructescens",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1-3","CapeCod","Sage","NA",37232,41.55326,-70.5061,"NA",.25,"8/11/2015",8,2015,203.68,"0","2","medium","94","7",1,"NA","0","0","Juncus gerardii",38,"Distichlis spicata",76,"Spartina alterniflora",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2-3","CapeCod","Sage","NA",38661,41.55352,-70.5061,"NA",.25,"8/11/2015",8,2015,206.8,"0.5","7","medium-high","94","7",1,"NA","0","0","Distichlis spicata",94,"Juncus gerardii",25,"Symphyotrichum tenuifolium",1,3,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2-1","CapeCod","Sage","NA",38661,41.55369,-70.50622,"NA",.25,"8/11/2015",8,2015,232.52,"2","3","medium","76","7",15,"NA","0","0","Spartina alterniflora",94,"Salicornia europaea",1,"NA",0,3,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2-2","CapeCod","Sage","NA",38661,41.55361,-70.506,"NA",.25,"8/11/2015",8,2015,210.36,"0","3","medium","94","3",1,"NA","0","0","Distichlis spicata",76,"Juncus gerardii",55,"Symphyotrichum tenuifolium",1,3,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3-3","CapeCod","Sage","NA",41520,41.55422,-70.50567,"NA",.25,"8/13/2015",8,2015,144.64,"0","1","low","76","25",3,"NA","0","0","Distichlis spicata",38,"Juncus gerardii",25,"Plantago maritima",3,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3-1","CapeCod","Sage","NA",41520,41.55408,-70.50569,"NA",.25,"8/13/2015",8,2015,357.64,"0.5","2","low","55","38",7,"NA","0","0","Distichlis spicata",76,"Salicornia europaea",3,"Juncus gerardii",3,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3-2","CapeCod","Sage","NA",41520,41.55414,-70.50583,"NA",.25,"8/13/2015",8,2015,214.2,"0.5","3","medium","76","15",3,"NA","0","0","Distichlis spicata",55,"Juncus gerardii",38,"Symphyotrichum tenuifolium",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4-3","CapeCod","Sage","NA",44377,41.55471,-70.50622,"NA",.25,"8/13/2015",8,2015,236.48,"2","3","low","76","3",15,"NA","0","0","Spartina alterniflora",94,"Salicornia europaea",7,"Distichlis spicata",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4-1","CapeCod","Sage","NA",44377,41.55462,-70.5061,"NA",.25,"8/13/2015",8,2015,248.88,"2","3","low","55","7",25,"NA","0","0","Spartina alterniflora",94,"Salicornia europaea",3,"Distichlis spicata",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4-2","CapeCod","Sage","NA",44377,41.55474,-70.50603,"NA",.25,"8/13/2015",8,2015,248.24,"0.5","4","high","55","55",0,"NA","0","0","Distichlis spicata",76,"Juncus gerardii",55,"Salicornia europaea",1,3,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5-3","CapeCod","Sage","NA",47233,41.55527,-70.5069,"NA",.25,"8/13/2015",8,2015,258.64,"0.5","3","medium","94","3",7,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5-2","CapeCod","Sage","NA",47233,41.55512,-70.50685,"NA",.25,"8/13/2015",8,2015,268.32,"0","3.5","medium","76","7",3,"NA","0","0","Spartina alterniflora",94,"Distichlis spicata",1,"NA",0,3,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5-1","CapeCod","Sage","NA",47233,41.55524,-70.50675,"NA",.25,"8/13/2015",8,2015,129.88,"1","3","medium","76","3",25,"NA","0","0","Spartina alterniflora",94,"Salicornia europaea",1,"NA",0,3,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6-3","CapeCod","Sage","NA",48663,41.55553,-70.5064,"NA",.25,"8/13/2015",8,2015,441.76,"2","7","medium-high","94","3",3,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6-1","CapeCod","Sage","NA",48663,41.5554,-70.50649,"NA",.25,"8/13/2015",8,2015,967.08,"3","10","medium","94","3",3,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6-2","CapeCod","Sage","NA",48663,41.55553,-70.50656,"NA",.25,"8/13/2015",8,2015,559.52,"3","6","low-medium","94","3",7,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7-1","CapeCod","Sage","NA",55812,41.55679,-70.50499,"NA",.25,"8/10/2015",8,2015,346.92,"1","6","high","76","38",3,"NA","0","0","Distichlis spicata",94,"Spartina alterniflora",15,"Symphyotrichum tenuifolium",1,2,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7-3","CapeCod","Sage","NA",55812,41.55692,-70.50509,"NA",.25,"8/10/2015",8,2015,644.8,"0.5","6","high","94","15",3,"NA","0","0","Phragmites australis",76,"Distichlis spicata",38,"Salicornia europaea",1,2,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7-2","CapeCod","Sage","NA",55817,41.55679,-70.50315,"NA",.25,"8/10/2015",8,2015,264.36,"1","6","high","94","15",1,"NA","0","0","Distichlis spicata",76,"Spartina alterniflora",55,"NA",0,1,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8-1","CapeCod","Sage","NA",57242,41.55705,-70.50471,"NA",.25,"8/10/2015",8,2015,280.92,"1","6","high","76","25",0,"NA","0","0","Distichlis spicata",76,"Spartina patens",38,"Scirpus olneyii",3,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8-3","CapeCod","Sage","NA",57242,41.55717,-70.50481,"NA",.25,"8/10/2015",8,2015,628.44,"0.5","6","high","94","7",0,"NA","0","0","Distichlis spicata",55,"Phragmites australis",38,"Scirpus olneyii",7,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8-2","CapeCod","Sage","NA",57242,41.55717,-70.50465,"NA",.25,"8/10/2015",8,2015,446.52,"0.5","6","medium","94","7",0,"NA","0","0","Spartina patens",76,"Phragmites australis",15,"Scirpus olneyii",3,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9-1","CapeCod","Sage","NA",58672,41.55737,-70.50447,"NA",.25,"8/10/2015",8,2015,287.48,"2","7","medium","55","25",7,"NA","0","0","Phragmites australis",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9-3","CapeCod","Sage","NA",58672,41.55749,-70.50439,"NA",.25,"8/10/2015",8,2015,673.32,"3","5","medium","55","38",7,"NA","0","0","Phragmites australis",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
