"SampleID_key","SampleID_frp","CommonName","VisitNo","subsample","Count","AdjCount","Flagged_Data_macroinvert","StartTime","EndTime","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","DepthOfSample","DepthOfWater","NetMeterEnd","TowDirection","NetMeterStart","Boulder","Cobble","Gravel","Organics","Sand","Silt","DetritalVolume","GearTypeAbbreviation","DragMethod","LAB_NAME","Location","Date","Comments","effort","CPUE"
12621,"EAV11-ARNO-03APR2023","Prickly Sculpin",7581,1,2,2,NA,"11:48",NA,38.180913,NA,-121.899073,NA,0.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"EAV",NA,"FRP","Arnold Slough",2023-04-03,"Fish vialed with sample",1,2
12621,"EAV11-ARNO-03APR2023","Gammarus",7581,1,1,1,NA,"11:48",NA,38.180913,NA,-121.899073,NA,0.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"EAV",NA,"FRP","Arnold Slough",2023-04-03,"Fish vialed with sample",1,1
12621,"EAV11-ARNO-03APR2023","Gnorimosphaeroma",7581,1,1,1,NA,"11:48",NA,38.180913,NA,-121.899073,NA,0.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"EAV",NA,"FRP","Arnold Slough",2023-04-03,"Fish vialed with sample",1,1
12581,"EAV11-BLAC-30MAR2023","Gammarus",7546,1,4,4,NA,NA,NA,38.17746133,NA,-121.91232,NA,0.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"EAV",NA,"FRP","Blacklock Marsh",2023-03-30,NA,1,4
12581,"EAV11-BLAC-30MAR2023","Oligochaete",7546,1,1,1,NA,NA,NA,38.17746133,NA,-121.91232,NA,0.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"EAV",NA,"FRP","Blacklock Marsh",2023-03-30,NA,1,1
12581,"EAV11-BLAC-30MAR2023","Barnacle adult",7546,1,1,1,NA,NA,NA,38.17746133,NA,-121.91232,NA,0.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"EAV",NA,"FRP","Blacklock Marsh",2023-03-30,NA,1,1
12581,"EAV11-BLAC-30MAR2023","Spider",7546,1,1,1,NA,NA,NA,38.17746133,NA,-121.91232,NA,0.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"EAV",NA,"FRP","Blacklock Marsh",2023-03-30,NA,1,1
12564,"EAV11-BRAD-29MAR2023","Gammarus",7541,1,35,35,NA,"09:10",NA,38.18428133,NA,-121.921665,NA,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"EAV",NA,"FRP","Bradmoor Island",2023-03-29,NA,1,35
12564,"EAV11-BRAD-29MAR2023","Americorophium spinicorne",7541,1,1,1,NA,"09:10",NA,38.18428133,NA,-121.921665,NA,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"EAV",NA,"FRP","Bradmoor Island",2023-03-29,NA,1,1
12564,"EAV11-BRAD-29MAR2023","Carabidae adult",7541,1,1,1,NA,"09:10",NA,38.18428133,NA,-121.921665,NA,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"EAV",NA,"FRP","Bradmoor Island",2023-03-29,NA,1,1
12564,"EAV11-BRAD-29MAR2023","Fish Eggs",7541,1,4,4,NA,"09:10",NA,38.18428133,NA,-121.921665,NA,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"EAV",NA,"FRP","Bradmoor Island",2023-03-29,NA,1,4
12564,"EAV11-BRAD-29MAR2023","Gnorimosphaeroma",7541,1,1,1,NA,"09:10",NA,38.18428133,NA,-121.921665,NA,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"EAV",NA,"FRP","Bradmoor Island",2023-03-29,NA,1,1
12564,"EAV11-BRAD-29MAR2023","Diptera adult",7541,1,1,1,NA,"09:10",NA,38.18428133,NA,-121.921665,NA,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"EAV",NA,"FRP","Bradmoor Island",2023-03-29,NA,1,1
13506,"EAV11-BROW-16MAY2023","Diptera adult",8096,1,2,2,NA,"12:37",NA,38.039584,NA,-121.864325,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"EAV",NA,"FRP","Browns Island",2023-05-16,NA,1,2
13506,"EAV11-BROW-16MAY2023","Aphididae larvae",8096,1,7,7,NA,"12:37",NA,38.039584,NA,-121.864325,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"EAV",NA,"FRP","Browns Island",2023-05-16,NA,1,7
13506,"EAV11-BROW-16MAY2023","Chironomid larvae",8096,1,6,6,NA,"12:37",NA,38.039584,NA,-121.864325,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"EAV",NA,"FRP","Browns Island",2023-05-16,NA,1,6
13506,"EAV11-BROW-16MAY2023","Tanaid",8096,1,2,2,NA,"12:37",NA,38.039584,NA,-121.864325,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"EAV",NA,"FRP","Browns Island",2023-05-16,NA,1,2
13506,"EAV11-BROW-16MAY2023","Ceratopogonidae larvae",8096,1,11,11,NA,"12:37",NA,38.039584,NA,-121.864325,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"EAV",NA,"FRP","Browns Island",2023-05-16,NA,1,11
13506,"EAV11-BROW-16MAY2023","Collembola",8096,1,1,1,NA,"12:37",NA,38.039584,NA,-121.864325,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"EAV",NA,"FRP","Browns Island",2023-05-16,NA,1,1
13506,"EAV11-BROW-16MAY2023","Diptera pupae",8096,1,1,1,NA,"12:37",NA,38.039584,NA,-121.864325,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"EAV",NA,"FRP","Browns Island",2023-05-16,NA,1,1
